LeMond,FW 0.34,HW 1.0,STN,140623,05:29
TIME,SPEED,DIST,POWER,HEART RATE,RPM,CALORIES,TORQUE,TARGET HR
00:00:01, 15.3,  0.0,60,0,68,0,8,0
00:00:02, 14.6,  0.0,60,0,65,0,8,0
00:00:03, 13.9,  0.0,60,0,62,0,9,0
00:00:04, 13.7,  0.0,60,0,61,0,9,0
00:00:05, 13.7,  0.0,60,0,61,0,9,0
00:00:06, 13.7,  0.0,60,0,61,0,9,0
00:00:07, 13.7,  0.0,60,0,61,0,9,0
00:00:08, 13.5,  0.0,60,0,60,0,9,0
00:00:09, 13.5,  0.0,60,0,60,0,9,0
00:00:10, 13.5,  0.0,60,0,60,0,9,0
00:00:11, 13.5,  0.0,60,0,60,0,9,0
00:00:12, 13.5,  0.0,60,0,60,0,9,0
00:00:13, 13.7,  0.1,60,0,61,0,9,0
00:00:14, 13.7,  0.1,60,0,61,0,9,0
00:00:15, 13.7,  0.1,60,0,61,1,9,0
00:00:16, 13.5,  0.1,60,0,60,1,9,0
00:00:17, 13.7,  0.1,60,0,61,1,9,0
00:00:18, 14.2,  0.1,60,0,63,1,9,0
00:00:19, 14.2,  0.1,60,0,63,1,9,0
00:00:20, 14.2,  0.1,60,0,63,1,9,0
00:00:21, 14.4,  0.1,60,0,64,1,8,0
00:00:22, 14.4,  0.1,60,0,64,1,8,0
00:00:23, 14.4,  0.1,60,0,64,1,8,0
00:00:24, 14.6,  0.1,60,0,65,1,8,0
00:00:25, 14.6,  0.1,60,0,65,1,8,0
00:00:26, 14.6,  0.1,60,0,65,1,8,0
00:00:27, 14.8,  0.1,60,0,66,1,8,0
00:00:28, 14.8,  0.1,60,0,66,1,8,0
00:00:29, 14.8,  0.1,60,0,66,2,8,0
00:00:30, 14.6,  0.1,60,0,65,2,8,0
00:00:31, 15.1,  0.1,60,0,67,2,8,0
00:00:32, 14.8,  0.1,60,0,66,2,8,0
00:00:33, 14.8,  0.1,60,0,66,2,8,0
00:00:34, 14.8,  0.1,60,0,66,2,8,0
00:00:35, 15.3,  0.1,60,0,68,2,8,0
00:00:36, 15.3,  0.1,60,0,68,2,8,0
00:00:37, 15.3,  0.1,60,0,68,2,8,0
00:00:38, 15.3,  0.2,60,0,68,2,8,0
00:00:39, 15.3,  0.2,60,0,68,2,8,0
00:00:40, 15.1,  0.2,60,0,67,2,8,0
00:00:41, 15.1,  0.2,60,0,67,2,8,0
00:00:42, 15.5,  0.2,60,0,69,2,8,0
00:00:43, 15.5,  0.2,60,0,69,2,8,0
00:00:44, 15.5,  0.2,60,0,69,3,8,0
00:00:45, 15.3,  0.2,60,0,68,3,8,0
00:00:46, 15.3,  0.2,60,0,68,3,8,0
00:00:47, 15.1,  0.2,60,0,67,3,8,0
00:00:48, 15.3,  0.2,60,0,68,3,8,0
00:00:49, 15.3,  0.2,60,0,68,3,8,0
00:00:50, 15.3,  0.2,60,0,68,3,8,0
00:00:51, 15.3,  0.2,60,0,68,3,8,0
00:00:52, 15.3,  0.2,60,0,68,3,8,0
00:00:53, 15.1,  0.2,60,0,67,3,8,0
00:00:54, 14.8,  0.2,60,0,66,3,8,0
00:00:55, 15.1,  0.2,60,0,67,3,8,0
00:00:56, 14.8,  0.2,60,0,66,3,8,0
00:00:57, 15.1,  0.2,60,0,67,3,8,0
00:00:58, 15.1,  0.2,60,0,67,4,8,0
00:00:59, 14.8,  0.2,60,0,66,4,8,0
00:01:00, 14.6,  0.2,60,0,65,4,8,0
00:01:01, 14.4,  0.2,60,0,64,4,8,0
00:01:02, 14.8,  0.3,60,0,66,4,8,0
00:01:03, 14.6,  0.3,60,0,65,4,8,0
00:01:04, 14.4,  0.3,60,0,64,4,8,0
00:01:05, 14.4,  0.3,60,0,64,4,8,0
00:01:06, 14.4,  0.3,60,0,64,4,8,0
00:01:07, 14.4,  0.3,60,0,64,4,8,0
00:01:08, 14.4,  0.3,60,0,64,4,8,0
00:01:09, 14.4,  0.3,60,0,64,4,8,0
00:01:10, 14.6,  0.3,60,0,65,4,8,0
00:01:11, 14.8,  0.3,60,0,66,4,8,0
00:01:12, 14.8,  0.3,60,0,66,5,8,0
00:01:13, 14.8,  0.3,60,0,66,5,8,0
00:01:14, 14.8,  0.3,60,0,66,5,8,0
00:01:15, 15.1,  0.3,60,0,67,5,8,0
00:01:16, 15.1,  0.3,60,0,67,5,8,0
00:01:17, 15.3,  0.3,60,0,68,5,8,0
00:01:18, 15.3,  0.3,60,0,68,5,8,0
00:01:19, 15.3,  0.3,60,0,68,5,8,0
00:01:20, 15.5,  0.3,60,0,69,5,8,0
00:01:21, 15.5,  0.3,60,0,69,5,8,0
00:01:22, 15.5,  0.3,60,0,69,5,8,0
00:01:23, 15.3,  0.3,60,0,68,5,8,0
00:01:24, 15.3,  0.3,60,0,68,5,8,0
00:01:25, 15.3,  0.3,60,0,68,5,8,0
00:01:26, 15.1,  0.4,60,0,67,5,8,0
00:01:27, 15.1,  0.4,60,0,67,6,8,0
00:01:28, 15.1,  0.4,60,0,67,6,8,0
00:01:29, 15.3,  0.4,60,0,68,6,8,0
00:01:30, 15.3,  0.4,60,0,68,6,8,0
00:01:31, 15.1,  0.4,60,0,67,6,8,0
00:01:32, 14.8,  0.4,60,0,66,6,8,0
00:01:33, 14.6,  0.4,60,0,65,6,8,0
00:01:34, 14.4,  0.4,60,0,64,6,8,0
00:01:35, 14.4,  0.4,60,0,64,6,8,0
00:01:36, 14.6,  0.4,60,0,65,6,8,0
00:01:37, 14.6,  0.4,60,0,65,6,8,0
00:01:38, 14.8,  0.4,60,0,66,6,8,0
00:01:39, 14.6,  0.4,60,0,65,6,8,0
00:01:40, 14.6,  0.4,60,0,65,6,8,0
00:01:41, 14.2,  0.4,60,0,63,7,9,0
00:01:42, 14.4,  0.4,60,0,64,7,8,0
00:01:43, 14.4,  0.4,60,0,64,7,8,0
00:01:44, 14.2,  0.4,60,0,63,7,9,0
00:01:45, 14.4,  0.4,60,0,64,7,8,0
00:01:46, 14.4,  0.4,60,0,64,7,8,0
00:01:47, 14.4,  0.4,60,0,64,7,8,0
00:01:48, 14.6,  0.4,60,0,65,7,8,0
00:01:49, 14.8,  0.4,60,0,66,7,8,0
00:01:50, 15.1,  0.4,60,0,67,7,8,0
00:01:51, 14.6,  0.5,60,0,65,7,8